decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
44.86150878,6.441990854,43.12758364,111.9958496,0,111.9958496,Horota
42.77711391,5.134943854,41.30231387,152.3504639,57.07004279,152.3504639,Horota
43.8263668,7.119941273,41.30231387,192.7050781,0,192.7050781,Horota
47.73955063,8.158414666,48.61092141,192.7050781,0,192.7050781,Horota
50.78387408,6.650726506,54.09425918,197.4447632,9.479370117,192.7050781,Horota
52.57301682,3.569407365,54.09425918,200.2885742,10.38412969,192.7050781,Horota
48.76886477,8.147396544,51.29463552,204.0803223,10.38412969,211.6638184,Horota
46.99373331,8.981289178,48.49501185,187.0699056,45.14804128,211.6638184,Horota
39.00516114,8.782325218,37.35640864,170.0594889,56.96907429,211.6638184,Horota
41.00634974,8.212095591,42.18316208,149.2573242,56.96907429,107.6529948,Horota
40.54791291,7.689232421,42.00883658,128.4551595,46.51505438,107.6529948,Horota
43.5388847,8.333831437,46.83559003,107.6529948,0,107.6529948,Horota
40.90175055,9.319975462,46.66126453,107.6529948,0,107.6529948,Horota
43.33617245,8.735360521,46.83559003,204.0619575,166.9852217,107.6529948,Horota
34.44563279,17.47500547,38.50723923,300.4709201,166.9852217,396.8798828,Horota
28.76830588,15.7912936,27.1525854,396.8798828,0,396.8798828,Horota
20.76239562,8.18394671,20.62430585,396.8798828,0,396.8798828,Horota
13.87993164,8.96814706,14.37220584,297.6599121,198.4399414,396.8798828,Horota
12.10825676,8.718652746,11.44775686,264.5865885,229.1387072,396.8798828,Horota
9.382087938,10.84787875,5.021557231,198.4399414,280.6364565,198.4399414,Horota
3.697380497,8.496608778,2.823357981,0,0,0,Horota
-0.610018932,4.303143479,-2.183087231,0,0,0,Horota
-2.018907151,4.04336038,-4.221083115,0,0,0,Horota
-3.8610532,0.944650404,-4.221083115,0,0,0,Horota
-3.984856057,0.670565187,-4.221083115,0,0,0,Horota
-1.938093893,4.348023974,-4.189173016,0,0,0,Horota
0.138704828,5.340178894,-2.802101517,0,0,0,Horota
2.071196016,5.111456947,5.441372822,0,0,0,Horota
5.79114377,6.090684222,5.76223051,0,0,0,Horota
7.577462741,3.83085094,6.129493338,0,0,0,Horota
9.281582786,4.632721715,6.143651279,0,0,0,Horota
9.379610675,4.554244814,6.633790723,0,0,0,Horota
9.167883848,4.801027346,6.633790723,0,0,0,Horota
6.603343499,4.724566262,6.129493338,0,0,0,Horota
5.5404802,5.406386334,4.382738689,0,0,0,Horota
2.83113803,2.591648265,1.587864008,0,0,0,Horota
1.274940743,2.007783904,0.815176843,0,0,0,Horota
0.345432135,1.062692387,0.736119888,0,0,0,Horota
-0.850321486,2.136432234,-0.26480435,0,0,0,Horota
-1.266696068,2.22036145,-0.706000032,0,0,0,Horota
-2.823694761,2.512230049,-2.769049905,0,0,0,Horota
-3.636288375,2.306447534,-4.394237132,0,0,0,Horota
-4.760116383,0.633730217,-4.397570168,0,0,0,Horota
10.42518426,26.6270817,-4.397570168,0,0,0,Horota
18.20802352,26.73869857,18.38371384,0,0,0,Horota
26.28947683,21.57433409,33.99946809,0,0,0,Horota
